ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,Test Case,Verify cookies consent popup is displayed below the login form on page load,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,Observe the bottom area of the login page below the login form,Cookies consent popup should be displayed below the login form with all required consent content and action controls.,,,
,Test Case,"Verify whether the cookies consent popup header is ""This website uses cookies""",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,Locate the cookies consent popup header text,"Cookies consent popup header should display exactly ""This website uses cookies"".",,,
,Test Case,Verify cookies consent body message content is displayed as per acceptance criteria,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,Read the consent message body text in the cookies popup,"Consent body should match the approved message including reference to the ""About"" tab:

We may use cookies and similar technologies to collect information about the ways you interact with and use the website, to support and enhance features and functionality, to monitor performance, to personalize content and experiences, for marketing and analytics, and for other lawful purposes. We also may share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've provided to them or that they've collected from your use of their services. Please, see more details on the ""About"" tab",,,
,Test Case,Verify Necessary cookie switch is displayed and disabled by default,,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,Locate the Necessary switch in the cookies consent popup,"Necessary switch should be visible, labeled ""Necessary"", enabled/on for required cookies, and disabled (not user-toggleable).",,,
,Test Case,"Verify Preferences, Statistics, and Marketing cookie switches are displayed and enabled for user selection",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,"Locate Preferences, Statistics, and Marketing switches in the cookies consent popup","Preferences, Statistics, and Marketing switches should be displayed and available for user selection (not disabled like Necessary).",,,
,Test Case,"Verify ""Show details"" hyperlink is displayed on the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,"Locate the ""Show details"" hyperlink in the cookies consent popup","""Show details"" hyperlink should be visible and clickable.",,,
,Test Case,"Verify clicking ""Show details"" expands the cookies consent details section",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,"Click the ""Show details"" hyperlink",Cookies consent details section should expand and display additional cookie category details without closing the popup.,,,
,Test Case,"Verify ""Allow all"", ""Allow selection"", and ""Deny"" action buttons are displayed",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,Inspect action buttons on the cookies consent popup,"Buttons labeled ""Allow all"", ""Allow selection"", and ""Deny"" should all be visible and enabled.",,,
,Test Case,"Verify clicking ""Allow all"" closes the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,"Click the ""Allow all"" button on the cookies consent popup",Cookies consent popup should close and no longer be displayed on the login page.,,,
,Test Case,"Verify clicking ""Deny"" closes the cookies consent popup",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
,,,2,"Enter URL and Launch the Application

https://accounts.creatio.com/login/alm",Application should be launched successfully and login page should be displayed.,,,
,,,3,"Click the ""Deny"" button on the cookies consent popup",Cookies consent popup should close and no longer be displayed on the login page.,,,
,Test Case,"Verify clicking ""Allow selection"" closes the cookies consent popup after optional category selection",,,,Creatio CRM,Bharath Tech Academy <bharattechacademy3@outlook.com>,Design
,,,1,"Launch the Browser

Browser = Chrome",Chrome Browser should be launched successfully.,,,
